id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
tokenfi,token,TokenFi,https://coin-images.coingecko.com/coins/images/32507/large/MAIN_TokenFi_logo_icon.png?1698918427,0.00255333,9695754,1179,25514405,7866568.0,0.00256163,0.00245001,8.79e-05,3.56527,348489.0,3.72825,3800109602.386672,10000000000.0,10000000000.0,0.243269,-98.95113,2024-03-26T13:01:11.223Z,4.984e-05,5019.55611,2023-10-27T08:34:48.635Z,,2026-06-20T00:04:44.004Z
marinade,mnde,Marinade,https://coin-images.coingecko.com/coins/images/18867/large/c1.png?1750668234,0.017741,9692969,1172,12417744,950027.0,0.01848117,0.01772785,-0.000158907981444596,-0.88776,-142486.07508561015,-1.4487,546399977.0,699997601.5296242,1000000000.0,1.64,-98.91848,2021-10-09T00:00:00.000Z,0.01728843,2.61044,2026-03-30T15:30:03.521Z,,2026-06-20T00:04:42.960Z
konnect,kct,Konnect,https://coin-images.coingecko.com/coins/images/25756/large/EAO_5JhW_400x400.jpg?1696524842,0.00129423,9682922,1159,13129385,432172.0,0.00140157,0.00128064,-2.534045992541e-06,-0.19541,170268.0,1.78991,7375000040.0,10000000000.0,10000000000.0,0.156065,-99.15338,2022-06-06T10:43:58.003Z,1.455e-05,8978.78486,2024-12-16T01:55:33.301Z,,2026-06-20T00:04:43.278Z
maverick-protocol,mav,Maverick Protocol,https://coin-images.coingecko.com/coins/images/30850/large/MAV_Logo.png?1696529701,0.01043345,9675932,1180,20833711,1972516.0,0.01070035,0.01031687,-9.7801355316344e-05,-0.92868,-120206.79368147254,-1.22708,928872657.1811638,2000000000.0,2000000000.0,0.804715,-98.7067,2024-03-02T23:15:27.120Z,0.00984618,5.69932,2026-06-06T05:10:16.866Z,,2026-06-20T00:04:44.216Z
unit-fartcoin,ufart,Unit Fartcoin,https://coin-images.coingecko.com/coins/images/67158/large/fartcoin.jpg?1751939859,0.120935,9636041,1182,120301979,80.85,0.125149,0.117939,-0.003495488203325486,-2.8092,-330667.73058722354,-3.31772,80098772.31,1000000000.0,1000000000.0,1.69,-92.87297,2025-07-23T02:08:27.139Z,0.101505,18.51842,2026-06-06T05:15:26.654Z,,2026-06-20T00:04:46.352Z
connect-token-wct,wct,WalletConnect Token,https://coin-images.coingecko.com/coins/images/50390/large/wc-token1.png?1727569464,0.051237,9606588,1183,51592492,48169547.0,0.053732,0.04424551,0.00671325,15.07777,1312695.0,15.82725,186200000.0,999993091.7004045,1000000000.0,1.34,-96.16335,2025-05-31T07:55:32.948Z,0.04177763,23.36628,2026-06-06T05:10:46.827Z,,2026-06-20T00:04:45.230Z
defi-ssi,defi.ssi,DEFI.ssi,https://coin-images.coingecko.com/coins/images/53090/large/defi.png?1735214136,0.376006,9587817,1185,9587817,291363.0,0.377647,0.364625,0.00211371,0.56533,53971.0,0.5661,25501047.70737409,25501047.70737409,,1.028,-63.42365,2025-01-06T16:50:42.469Z,0.255435,47.19122,2026-02-06T00:56:09.592Z,,2026-06-20T00:04:45.030Z
edexa,edx,edeXa,https://coin-images.coingecko.com/coins/images/52589/large/edeXa-EDX.png?1733715873,0.0128126,9581617,1184,32030626,202.9,0.0128128,0.01254487,1.343e-05,0.10492,209804.0,2.23867,747848092.5589898,2500000000.0,10000000000.0,0.07137,-82.04729,2024-12-09T03:45:54.753Z,0.00051047,2410.03814,2026-03-13T15:39:10.866Z,,2026-06-20T00:04:50.324Z
tensor,tnsr,Tensor,https://coin-images.coingecko.com/coins/images/35972/large/tnsr.png?1712687367,0.02859152,9546574,1186,28530687,4488657.0,0.02923785,0.02814809,-0.000527231956992506,-1.81063,-184171.4441631455,-1.89268,334607238.97717,1000000000.0,1000000000.0,2.23,-98.72112,2024-04-08T15:35:40.723Z,0.02735362,4.39097,2026-06-10T22:10:08.372Z,,2026-06-20T00:04:55.590Z
as-roma-fan-token,asr,AS Roma Fan Token,https://coin-images.coingecko.com/coins/images/11688/large/ASR.png?1741934747,1.1,9545728,1187,11011081,13170263.0,1.3,1.1,-0.01837642820006047,-1.63931,-187609.30835006945,-1.92749,8664867.0,9995000.0,9995000.0,26.64,-95.85939,2020-12-29T15:38:37.922Z,0.778006,41.76763,2026-06-05T07:16:02.647Z,,2026-06-20T00:04:42.801Z
